,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses,PrimaryPropertyType_Commercial,PrimaryPropertyType_Education,PrimaryPropertyType_Health,PrimaryPropertyType_Hospitality,PrimaryPropertyType_Other,PrimaryPropertyType_Residential,PrimaryPropertyType_ServiceFacility,LargestPropertyUseType_Commercial,LargestPropertyUseType_Education,LargestPropertyUseType_Health,LargestPropertyUseType_Hospitality,LargestPropertyUseType_Leisure,LargestPropertyUseType_Other,LargestPropertyUseType_Residential,LargestPropertyUseType_ServiceFacility,SecondLargestPropertyUseType_ Commercial,SecondLargestPropertyUseType_Commercial,SecondLargestPropertyUseType_Education,SecondLargestPropertyUseType_Health,SecondLargestPropertyUseType_Hospitality,SecondLargestPropertyUseType_Leisure,SecondLargestPropertyUseType_None,SecondLargestPropertyUseType_Other,SecondLargestPropertyUseType_Residential,SecondLargestPropertyUseType_ServiceFacility,ThirdLargestPropertyUseType_Commercial,ThirdLargestPropertyUseType_Education,ThirdLargestPropertyUseType_Health,ThirdLargestPropertyUseType_Hospitality,ThirdLargestPropertyUseType_Leisure,ThirdLargestPropertyUseType_None,ThirdLargestPropertyUseType_Other,ThirdLargestPropertyUseType_Residential,ThirdLargestPropertyUseType_ServiceFacility
0,47.6122,-122.33799,1.0,12,88434,0,88434,88434.0,0.0,0.0,60.0,7226362.5,249.98,2.83,54.6059929874816,27.7301616131214,17.66383848028659,0.0,89,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,47.61317,-122.33393,1.0,11,103566,15064,88502,83880.0,15064.0,4622.0,61.0,8387933.0,295.86,2.86,38.66090728192512,0.0,61.33909271807488,0.0,20,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,47.61393,-122.3381,1.0,41,956110,196718,759392,756493.0,0.0,0.0,43.0,72587024.0,2089.28,2.19,68.23074052464253,29.711307629859572,2.0579435795576906,0.0,47,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,47.61412,-122.33664,1.0,10,61320,0,61320,61320.0,0.0,0.0,56.0,6794584.0,286.43,4.67,40.75192830054055,32.59134407639968,26.65671658485641,0.0,90,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,47.61375,-122.34047,1.0,18,175580,62000,113580,123445.0,68009.0,0.0,75.0,14172606.0,505.01,2.88,37.88016826263286,0.0,62.11982468150177,0.0,36,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,47.61623,-122.33657,1.0,2,97288,37198,60090,88830.0,0.0,0.0,,12086616.0,301.81,3.1,60.9884023783001,0.0,39.011597621699906,0.0,17,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,47.6139,-122.33283,1.0,11,83008,0,83008,81352.0,0.0,0.0,27.0,5758795.0,176.14,2.12,48.81602835315374,0.0,51.18397164684626,0.0,90,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,47.61327,-122.33136,1.0,8,102761,0,102761,102761.0,0.0,0.0,,6298131.5,221.51,2.16,57.74180802671396,36.14225107875249,6.115925016808556,0.0,90,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,47.60294,-122.33263,1.0,15,163984,0,163984,163984.0,0.0,0.0,43.0,13723820.0,392.16,2.39,53.17702359838587,0.0,46.822969115013166,0.0,112,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,47.60284,-122.33184,1.0,6,63712,1496,62216,56132.0,0.0,0.0,1.0,4573777.0,151.12,2.37,55.35938896889814,22.732529111060725,21.908064166661383,0.0,106,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
