,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
0,Leisure,47.6122,-122.33799,0.3010299956639812,4.946624180155043,Leisure,None,None,60.0,6.8589198036302355,2.3996391149642737,54.61,27.73,17.66,100.0,0.0,0.0,0.0,0.0,89,1
1,Leisure,47.61317,-122.33393,0.3010299956639812,5.015221396326696,Leisure,ServiceFacility,Leisure,61.0,6.923655004584368,2.472551683114428,38.66,0.0,61.34,80.99,14.55,4.46,14.55,0.0,20,3
2,Leisure,47.61393,-122.3381,0.3010299956639812,5.9805083147542355,Leisure,None,None,43.0,7.860858997084379,3.3202044652067677,68.23,29.71,2.06,79.12,0.0,0.0,20.57,0.0,47,1
3,Leisure,47.61412,-122.33664,0.3010299956639812,4.7876092285525385,Leisure,None,None,56.0,6.832162936018625,2.458532094885551,40.75,32.59,26.66,100.0,0.0,0.0,0.0,0.0,90,1
4,Leisure,47.61375,-122.34047,0.3010299956639812,5.244477518166886,Leisure,ServiceFacility,Leisure,75.0,7.151449744501191,2.704159099649888,37.88,0.0,62.12,70.31,38.73,0.0,35.31,0.0,36,3
5,ServiceFacility,47.61623,-122.33657,0.3010299956639812,4.988063739452725,ServiceFacility,None,None,,7.082304760428389,2.4811702132095,60.99,0.0,39.01,91.31,0.0,0.0,38.23,0.0,17,1
6,Leisure,47.6139,-122.33283,0.3010299956639812,4.919125181995805,Leisure,None,None,27.0,6.760331694323706,2.2483166403417796,48.82,0.0,51.18,98.01,0.0,0.0,0.0,0.0,90,1
7,ServiceFacility,47.61327,-122.33136,0.3010299956639812,5.011832548109989,Leisure,None,None,,6.799211793076254,2.3473495337314567,57.74,36.14,6.12,100.0,0.0,0.0,0.0,0.0,90,1
8,Leisure,47.60294,-122.33263,0.3010299956639812,5.214804124174758,Leisure,None,None,43.0,7.137475044911735,2.594569326395738,53.18,0.0,46.82,100.0,0.0,0.0,0.0,0.0,112,1
10,Leisure,47.60695,-122.33414,0.3010299956639812,5.185156699770475,Leisure,None,None,30.0,7.204571549789367,2.840269238037621,38.63,32.7,28.67,87.41,0.0,0.0,12.59,0.0,47,1
